pa-tê	(dtừ) terrine.
phụ chấp	() one who is equal to one's father.
phụ chính	() regent.
phụ chú	() annotate.
phụ chương	() supplement.
phụ dịch	(dtừ) now-comtant service.
phụ đảm	() bear taxes.
phụ đạo	() (arch) tutor of the prince.
phụ đạo	() give extra-class help.
phụ đạo	() give assistance to a student (to help him understand the lectures).
phụ đề	() subtitle (in a motion picture).
phụ đính	() (ít dùng) insert.
phụ đính	() to attach.
phụ đính	() appendix.
phụ đoạn	() subparagraph.
phụ đồng	() be possessed by a spirit.
phụ động	() supernumerary.
phụ động	() coccasional.
phụ động	() not no the staff.
phụ động	() casual staff.
phụ gia	() (kỹ thuật) additive.
phụ gia	() (dược học) adjuvant.
phụ giáo	() assistant lecturer.
phụ giáo	() tutor.
phụ giảng	() assitant lecturer.
phụ giảng	() tutor.
phụ giúp	() to be a help to somebody.
phụ giúp	() to aid.
phụ giúp	() to help.
phụ giúp	() to assist.
phụ hệ	() patriarchy.
phụ hệ	() (pháp lý) paternity.
phụ hoàng	() king-father.
phụ hoạ	() to ape.
phụ hoạ	() to imitate.
phụ hoạ	() to follow in somebody's footsteps.
phụ hoạ	() chime in.
phụ họa theo	(nđtừ) chime.
phụ họa theo	(thngữ) to lend oneself to.
phụ huynh	() father and elder brother.
phụ khảo	() assistant.
phụ khoa	() gynaecology.
phụ khoa	() gynaecological.
phụ khuyết	() complementary, addition, appendix, addendum, alternate.
phụ kiện	() spare parts.
phụ lái	(dtừ) engine driver's mate/assistant.
phụ lão	() elders, elderly person, elderly people, old man, aged man.
phụ lễ	() altar boys.
phụ lòng	() betray somebody's feeling.
phụ lục	(dtừ) appendix.
phụ lục	(dtừ) addendum.
phụ lưu	() estuary.
phụ lực	() help, assist, give help.
phụ mẫu	() (từ cũ) parents, father and mother.
phụ một tay	() xem giúp một tay.
phụ nghĩa	() ungrateful, thankless.
phụ nghĩa	() unfaithful, faithless, disloyal.
phụ nhân	() (từ cũ) woman.
phụ núi cao	(ttừ) subalpine.
phụ nữ	() woman.
phụ nữ	() lady.
phụ nữ	() matron.
phụ nữ	() xem nữ giới.
phụ nữ	() female.
phụ nữ	() feminine.
phụ nữ	() womanlike.
phụ nữ	() womanly.
phụ nữ	() womanish.
phụ nữ cho con bú	() lactating woman.
phụ nữ có thai	() pregnant woman.
phụ nữ cứu quốc	() women for national salvation.
phụ nữ da trắng lai da đen	(dtừ) mulattress.
phụ nữ đòi quyền bầu cử	(dtừ) suffragette.
phụ nữ hấp dẫn	(dtừ) doll.
phụ nữ quý tộc	(dtừ) donna.
phụ nữ sống trong hậu cung	(dtừ) harem.
phụ nữ thời đàm	() women's herald.
phụ ơn	() be ungrateful (to somebody for something).
phụ phàng	() jealous.
phụ phàng	() jealousy.
phụ phẩm	() by-product.
phụ phí	() additional fee, supplementary fee, additional charge.
phụ quyền	() paternal authority.
phụ quyền	() patriarchy.
phụ quyền	() patriarchal.
phụ tá	(dtừ) aid.
phụ tá	(dtừ) assistant.
phụ tá bộ trưởng	() assistant secretary.
phụ tá của nha sĩ	(thngữ) dental hygienist.
phụ tá quân sự	() military assistant.
phụ tá quốc phòng	() assistant for national defense.
phụ tải	() (điện) additional charge.
phụ tế	(ttừ) ministrant.
phụ thân	(dtừ) father, dad.
phụ thẩm	() assessor, juror.
phụ thêm	() additional, addition.
phụ thêm vào	(dtừ) supplementation.
phụ thêm vào	(ngđtừ) supplement, subjoin.
phụ thêm vào	(ttừ) contributory, supplemental.
phụ thu	() additionally levied, additional.
phụ thuộc	() to depend on/upon somebody/something.
phụ thuộc	() to be dependent/conditional on/upon something.
phụ thuộc	() to be subsidiary to something.
phụ thuộc	() to be contingent on/upon something.
phụ thuộc lẫn nhau	() xem tương thuộc.
phụ thuộc vào	(ttừ) incident, appendant, appurtenant.
phụ thuộc vào ai	(thngữ) down to sb.
phụ thuộc vào cái gì	(ttừ) conditional.
phụ thuộc về tình cảm	(ttừ) clinging.
phụ tình	() to be unfaithful to one's lover/spouse.
phụ tình	() to two-time.
phụ tố	() (ngôn ngữ) affix.
phụ tố hóa	() affixation.
phụ trách	() to undertake.
phụ trách	() to be in charge of....
phụ trách	() to be responsible for....
phụ trách cảng	() harbour - master.
phụ trách công tác	() responsible for the work.
phụ trách đơn vị	() responsible for the unit.
phụ trách tiểu ban	() chief of subdivision.
phụ trách việc bán đấu giá	(nđtừ) auctioneer.
phụ trái	() be in debt.
phụ trội	() additional.
phụ trội	() extra.
phụ trợ	() auxiliary.
phụ trợ	() support.
phụ trương	(dtừ) insert.
phụ tùng	() spare parts.
phụ tùng	() accessories.
phụ tùng	() appurtenances.
phụ tùng linh tinh	(dtừ) paraphernalia.
phụ từ	() (ngôn ngữ) adjunct.
phụ tử	() father and child.
phụ tử	() (thực vật, dược học) aconite.
phụ ước	() break an agreement, not to live up to a pledge.
phụ ước	() supplementary agreement.
phụ vào	(dtừ) adjunction.
phụ vào	(ngđtừ) annex.
phụ vào	(ttừ) adjunct, adjunctive, adjective, adscititious, ministerial, additional.
phụ vận	() agitaion and propaganda among women.
phục	(đtừ) to admire.
phục	(đtừ) to esteem.
phục binh	() ambush, troops lying in wait.
phục chế	() restore (a painting...).
phục chức	() to restore somebody to his/her previous post.
phục chức	() to restore the former rank of somebody.
phục chức	() to reinstate somebody in his/her former post.
phục chức	() to rehabilitate.
phục cổ	() restore what is old.
phục dịch	(đtừ) to serve.
phục dịch	(đtừ) to attend to....
phục dược	() (archaism) take medicines.
phục hiện	() flash back.
phục hoàn	() reintegrate.
phục hoạt	() rectivate.
phục hồi	() to restore.
phục hồi	() to rehabilitate.
phục hồi	() to recover.
phục hồi chức năng	() to re-educate.
phục hồi chức năng	() to rehabilitate.
phục hồi chức vị	(dtừ) reappointment.
phục hồi chức vị	(ngđtừ) reappoint.
phục hồi dưới đạng có thể hiểu được	(ngđtừ) unscramble.
phục hồi địa vị cho ai	(thngữ) to put (set) someone back on his feet.
phục hồi được	(ngđtừ) retrieve.
phục hồi lại	(dtừ) resurrection, recovery.
phục hồi lại	(ngđtừ) resurrect, restore.
phục hồi lại quyền lợi	(dtừ) remitter.
phục hồi nhanh sức mạnh	(dtừ) resilience.
phục hồi nhanh sức mạnh	(ttừ) resilient.
phục hồi sinh khí	(ttừ) life-giving.
phục hồi sức khoẻ	() to recuperate.
phục hồi sức khoẻ	() to recover/regain one's health.
phục hồi sức khoẻ	() recuperative.
phục hồi sức khoẻ	(dtừ) recruitment.
phục hồi sức khoẻ	(thngữ) to pull round.
phục hồi sức khoẻ	(ttừ) recuperative.
phục hồi sức khỏe cho ai	(thngữ) to put (set) someone back on his feet.
phục hồi sự hoạt động	(ngđtừ) reactivate.
phục hồi thành tiền tệ chính thức	(dtừ) remonetization.
phục hồi thành tiền tệ chính thức	(ngđtừ) remonetise.
phục hồi tình trạng cũ	(ngđtừ) remit.
phục hưng	() to restore to former prosperity.
phục hưng	() to rehabilitate.
phục hưng kinh tế	() economic rehabilitation.
phục kích	() to waylay.
phục kích	() to ambush.
phục lăn	() be transported with admiration, take one's hat off (to somebody).
phục linh	() (botanic) truffle.
phục mệnh	() (từ cũ) make a report on the execution of an orders.
phục nghiệp	() recover one's property.
phục nguyên	() return to health, rehabilitate.
phục nguyên	() restore, reconstruct, reconstruction.
phục phịch	() big and fat, lumpish, fat and clumsy, chubby.
phục quốc	() (từ cũ) to recover the independence of one's country.
phục quyền	() to restore somebody to power.
phục quyền	() to rehabilitate.
phục sát đất	() to admire greatly.
phục sinh	() to resuscitate.
phục sinh	() to revive.
phục sinh	() to be restored to life.
phục sinh	() to come back to life.
phục sức	() dress.
phục sức	() costume.
phục sức	() attire.
phục sức	() apparel.
phục tang	() be in mourning.
phục thiện	() to improve one's behaviour.
phục thiện	() to better one's conduct.
phục thiện	() to mend one's manners/ways.
phục thiện	() to amend.
phục thuốc	() (từ cũ) take medicine.
phục thù	() xem trả thù.
phục thư	() letter in reply.
phục tòng	() cũng như phục tùng.
phục tòng	() submit (to), listen (to), yield (to), obey, submission, subjecting, obedience.
phục tội	((từ cũ) accept punishment, give oneself up) plead guilty.
phục tội	((từ cũ) accept punishment, give oneself up) admit/acknowledge one's guilt.
phục trang	() costume (of actors).
phục tráng	() revigorate.
phục tùng	() xem phục tòng.
phục tùng	() comply with, submit oneself to, listen to.
phục tùng đê tiện	(dtừ) compliance.
phục tùng kỷ luật	(dtừ) orderliness.
phục tùng kỷ luật	(ttừ) orderly.
phục tùng mệnh lệnh	(ttừ) compliant.
phục viên	() to return from military service.
phục viên	() to be demobilized.
phục viên	() to get one's ticket.
phục viên	() to be a returnee.
phục vị	() prostrate oneself.
phục vụ	() to serve.
phục vụ	() to attend to.
phục vụ ăn kiêng của người do thái	(ttừ) kosher.
phục vụ cho	(nđtừ) cater.
phục vụ cho một mục đích	(ttừ) purposive.
phục vụ cho một ý định	(ttừ) purposive.
phục vụ cơm tại nhà	(thngữ) meals-on-wheels.
phục vụ suốt ngày trong quân ngũ	(thngữ) active service.
phục vụ tận tình	(thngữ) yeoman service.
phụng	() xem phượng.
phụng	() phoenix.
phụng	() to obey.
phụng	() to serve.
phụng bái	() pay respect.
phụng báo	() have the honour to announce.
phụng biệt	() say goodbye to.
phụng cầu	() phoenix seeks a mate (phụng cầu hoàng name of a song).
phụng chỉ	() comply with a royal ordinance.
phụng chỉ	() obey the imperial decree.
phụng dưỡng	(đtừ) to support maintain (one's parents).
phụng hoàng	() như phượng hoàng.
phụng lệnh	() obey an order.
phụng liễn	() royal carriage.
phụng mệnh	() comply with orders from above.
phụng mệnh	() obey an order.
phụng phịu	() want to be humoured, coddle oneself.
phụng phịu	() sulk, look unhappy, sullen.
phụng sự	() to be in somebody's service.
phụng sự	() to serve.
phụng thờ	() worship, give respectful cult to.
phụt	() eject, gush, spout, jet.
phụt	() strongly and fast.
phụt	() suddenly.
phụt hơi ra	(nđtừ) puff.
phụt khói ra	(nđtừ) puff.
phụt phụt ra	(nđtừ) puff.
phụt ra	(dtừ) ejection.
phụt ra	(đtừ) disgorge.
phụt ra	(ngđtừ) eject, puff.
phụt ra	(nđtừ) outbreak.
phụt ra từng luồng	(ttừ) puffy.
phưng phức	() xem phức (thơm phưng phức).
phương	(dtừ) way.
phương	(dtừ) direction, cardinal point.
phương	(dtừ) way.
phương	(dtừ) means.
phương	(dtừ) method.
phương án	() project.
phương án tác chiến	() combat plan.
phương bắc	(dtừ) north.
phương bắc	(ttừ) arctic, nth.
phương bắc từ	(thngữ) magnetic north.
phương cách	() ways and means, mode.
phương châm	(dtừ) line, guideline.
phương châm	(dtừ) precept, formula, motto.
phương châm căn bản	() the fundamental principle.
phương châm chính sách	() policy guidelines.
phương châm chung	() general guideline.
phương châm công tác	() guidelines of the work.
phương châm xử thế	() rules of conduct.
phương chi	() all the more, especially as, as.
phương cường	() strong, sound, robust.
phương cứu chữa	(dtừ) help.
phương danh	() (từ cũ) good name, good reputation, famous name.
phương diện	() aspect.
phương diện	() bearing.
phương diện	() slant.
phương diện	() field.
phương diện	() sphere.
phương diện	() notable figure of the state.
phương diện quốc gia	() important personality of the state.
phương đông	() the east.
phương đông	() the orient.
phương độ	() bearings.
phương gió	(dtừ) wind.
phương hại	() injurious.
phương hại	() harmful.
phương hại đến	(thngữ) to the detriment.
phương hướng	() direction.
phương hướng	() course.
phương hướng chung	() general direction.
phương hướng công tác	() direction of the work.
phương hướng cụ thể	() specific policy.
phương hướng giáo dục	() indoctrination policy.
phương hướng hành động	() line of action.
phương hướng hành động	() course of action.
phương kế	() means.
phương kế	() expedient.
phương kế	() scheme.
phương kế	() resort.
phương liên	() water - lily.
phương liệt	() well - known, celebrated.
phương lược	() stratagem, expedient, ruse.
phương nam	(dtừ) south.
phương nam	(ttừ) antarctic.
phương ngại	() prevent (from), hinder (from), lay obstacles (to).
phương ngôn	() local saying, proverb, saw.
phương ngôn	() dialect.
phương ngôn	() dialectal.
phương ngôn học	(dtừ) dialectology.
phương ngữ	() dialect.
phương pháp	() way.
phương pháp	() approach.
phương pháp	() method.
phương pháp an ủi	(dtừ) salvo.
phương pháp bắt đầu giải quyết	(dtừ) approach.
phương pháp chiết cành	(dtừ) layerage.
phương pháp chỉnh xương	(dtừ) osteoclasis.
phương pháp cứu chữa	(dtừ) remedy.
phương pháp dạy thủ công	(dtừ) sloid.
phương pháp diễn dịch	() deductive method.
phương pháp đào tạo	() training method.
phương pháp để rèn luyện	(dtừ) discipline.
phương pháp đóng gói hàng	(dtừ) pack.
phương pháp đúc bản in	(dtừ) stereotypy.
phương pháp đúc bản in	(ttừ) stereotypic.
phương pháp frê-ben	(dtừ) froebelism.
phương pháp ghi âm	(dtừ) phonography.
phương pháp giảng dạy	() teaching method.
phương pháp giữ gìn	(dtừ) salvo.
phương pháp gợi hỏi	() maieutic method.
phương pháp hạn chế sinh đẻ	(dtừ) birth-control.
phương pháp hiện đại	(dtừ) modernism.
phương pháp in bằng bản in đúc	(dtừ) stereotypography.
phương pháp khắc nạo	(dtừ) mezzotint.
phương pháp khoa học	() scientific method.
phương pháp kỹ thuật	(dtừ) technique.
phương pháp làm tan sương mù	(dtừ) fido.
phương pháp làm việc	() work method.
phương pháp lỗi thời	(dtừ) back number.
phương pháp luận	() methodology.
phương pháp luận	() (phương pháp luận) discourse on method.
phương pháp luyện chạy xa	(dtừ) fartlek.
phương pháp mông-te-xơ-ri	(dtừ) montessori method.
phương pháp mới	(dtừ) modernism, innovation.
phương pháp nghe nhìn	() xem phương pháp thính thị.
phương pháp penman	(dtừ) pelmanism.
phương pháp phân loại	(dtừ) systematics.
phương pháp phân tích	() analytical method.
phương pháp quản lý	() management method.
phương pháp quy nạp	(dtừ) induction.
phương pháp sản xuất	(dtừ) know-how.
phương pháp soi qua	(dtừ) transillumination.
phương pháp suy luận	(dtừ) syllogism.
phương pháp thính thị	() audiovisual method.
phương pháp thống kê	() statistical method.
phương pháp thực nghiệm	() experimental method.
phương pháp tiên nghiệm	(dtừ) high priori road.
phương pháp tiết kiệm	(dtừ) economy.
phương pháp tinh vi	(dtừ) refinement.
phương pháp tránh thụ thai	(dtừ) contraception.
phương pháp trị vật hại	(dtừ) pestology.
phương pháp tuyển dụng công chức	(dtừ) civil service.
phương pháp vòng quanh	(dtừ) circumbiendibus.
phương pháp vô trùng	(dtừ) asepsis.
phương pháp xén giờ	(dtừ) guillotine.
phương phi	() imposing.
phương phi	() portly.
phương phi tuấn tú	() imposing/portly and elegant.
phương sai	() (thống kê) variance.
phương sách	() method.
phương sách	() measure.
phương sách	() approach.
