ha	() exclamation of joy.
hơi đa sầu đa cảm	(dtừ) keepsake.
hơi đặc	(ttừ) thickish.
hơi đâu	() there's no need to do something.
hơi đâu	() it's no use doing something.
hơi đâu	() what's the use of doing something?.
hơi đất	() the smell of the soil.
hơi đất đèn	() acetylene.
hơi đần độn	(ttừ) dullish.
hơi đen	() blackish.
hơi đê tiện	(ttừ) shabbyish.
hơi đệm	(dtừ) cushion.
hơi điên	(dtừ) craze.
hơi điên	(thngữ) to have rats in the attic, to be a shingle short.
hơi điên	(ttừ) barmy.
hơi điệu	(ttừ) pixilated.
hơi đỏ	(ttừ) reddish, ruddy, pink.
hơi đỏ tía	(ttừ) purplish.
hơi đốt	(dtừ) gas.
hơi đồng	() money, gold.
hơi độc	() poison gas.
hơi độc	() toxic gas.
hơi độc làm hắt hơi	(dtừ) sneezing gas.
hơi động	(ttừ) roughish.
hơi ép	() compressed air.
hơi ê te	() ether vapour.
hơi ga	() coal gas.
hơi gàn	(thngữ) to have rats in the attic.
hơi gàn	(ttừ) pixilated.
hơi gầy	(ttừ) thinnish.
hơi giá như đồng	() icy, metal cold.
hơi già	(dtừ) oldishness.
hơi già	(ttừ) oldish.
hơi gió thoảng	(dtừ) breathing.
hơi giống	(ttừ) akin.
hơi giống sừng	(ttừ) subcorneous.
hơi gồ ghề	(ttừ) roughish.
hơi hám	() odour, smell.
hơi hàn không	() welding gas.
hơi hạ	(ttừ) cheapish.
hơi hắc búa	(ttừ) toughish.
hơi hóa học	() war gas, poison gas.
hơi hồng	(ttừ) pinkish.
hơi hơi	() xem hơi (láy).
hơi hơi nhanh	(phó từ) andantino.
hơi hướng	() remote relation (of parentage).
hơi hướng	() smell (of dirt, of uncleanlinessm, of disease).
hơi kém	(ttừ) feeblish, weakish.
hơi khang khác	() there is a slight difference.
hơi khác nhau	(dtừ) shade, shading.
hơi khít	(ttừ) snug.
hơi khó	(ttừ) toughish.
hơi khó chịu	(ttừ) queerish.
hơi khó ở	(ttừ) queerish.
hơi khói	(dtừ) fume.
hơi khỏe	(ttừ) strongish.
hơi khô	(ttừ) subarid, dryish.
hơi khô cằn	(ttừ) subarid.
hơi khờ khạo	(ttừ) softish.
hơi kỳ quặc	(ttừ) queerish.
hơi lác	(dtừ) cast.
hơi làm chảy nước mắt	(dtừ) tear-gas, lachrymator.
hơi lạ lùng	(ttừ) queerish.
hơi lạnh	() cold air, cold gas, slightly cold.
hơi loãng	(ttừ) thinnish.
hơi lõm	(ttừ) subconcave.
hơi lồi	(ttừ) subconvex.
hơi lục	(ttừ) greenish.
hơi mảnh	(ttừ) thinnish.
hơi mặn	(ttừ) saltish, brackish.
hơi mất trí	(ttừ) funny.
hơi men	() heady bouquet of alcohol.
hơi mềm	(ttừ) softish.
hơi mệt	(thngữ) under the weather.
hơi mong manh	(ttừ) thinnish.
hơi mỏng	(ttừ) thinnish.
hơi mờ đục	(ttừ) dullish.
hơi nặng mùi	(ttừ) sniffy.
hơi nâu	(dtừ) brownish.
hơi ngạt	() asphyxiant gas.
hơi ngắn	(dtừ) pursiness, short wind.
hơi ngắn	(ttừ) shortish.
hơi nghèo nàn	(ttừ) thinnish.
hơi ngoan cố	(ttừ) toughish.
hơi ngọt	(ttừ) sweetish.
hơi ngờ nghệch	(ttừ) softish.
hơi ngu đần	(ttừ) dullish.
hơi nhanh	(phó từ) allegretto.
hơi nhiều sừng	(ttừ) subcorneous.
hơi nhợt nhạt	(ttừ) palish.
hơi nhu nhược	(ttừ) feeblish.
hơi non	(ttừ) weakish.
hơi nóng	(dtừ) warmth, heat.
hơi nước	() steam.
hơi ôi	(ttừ) high.
hơi phẳng	(ttừ) flattish.
hơi phân tán	(ttừ) thinnish.
hơi phệ	(ttừ) tubbish.
hơi ráp	(ttừ) roughish.
hơi rậm	(ttừ) thickish.
hơi rẻ	(ttừ) cheapish.
hơi rộng	(ttừ) broadish, widish.
hơi say	(ttừ) tiddly.
hơi sắc	(ttừ) sharpish.
hơi sít	(ttừ) thickish.
hơi sốt	(ttừ) feverish.
hơi sức	() force.
hơi tai tái	(ttừ) paly.
hơi tái	(ttừ) sallowish.
hơi tái xám	(ttừ) sallowish.
hơi than	() coal gas.
hơi thoảng toát ra	(dtừ) aura.
hơi thô bạo	(ttừ) roughish.
hơi thô lỗ	(ttừ) gruffish, roughish.
hơi thở	() breath.
hơi thở	() respiration.
hơi thở hổn hển	(dtừ) pant.
hơi thở phù	(dtừ) puff.
hơi thở thối	(dtừ) halitosis.
hơi thuốc	(dtừ) smoke.
hơi thuốc lá ngắn	(dtừ) puff.
hơi thưa	(ttừ) thinnish.
hơi tiều tụy	(ttừ) shabbyish.
hơi tía	(ttừ) purplish.
hơi tối	(ttừ) duskish, darkish.
hơi tối tăm	(ttừ) dullish.
hơi trái nghĩa	(dtừ) subcontrariety.
hơi trái nghĩa	(ttừ) subcontrary.
hơi trắng	(ttừ) whitish.
hơi trẻ	(ttừ) youngish.
hơi tròn	(ttừ) roundish.
hơi u ám	(ttừ) dullish, thickish.
hơi ủy mị	(dtừ) keepsake.
hơi ương ngạnh	(ttừ) toughish.
hơi ướt	(dtừ) dampishness.
hơi ướt	(ttừ) dampish, wettish.
hơi vàng	(ttừ) yellowish.
hơi vất vả khó nhọc	(ttừ) toughish.
hơi vuông	(ttừ) squarish.
hơi xanh	(ttừ) bluish.
hơi xanh xao	(ttừ) paly.
hơi xanh xám	(ttừ) palish.
hơi xám	(ttừ) greyish.
hơi xê xích	() it's a little bit off.
hơi xỉn đi	(ttừ) dullish.
hơi xù xì	(ttừ) roughish.
hơi yếu	(ttừ) weakish.
hơlê	(dtừ) hurley.
hơn	() than.
hơn	() more than.
hơn	() over.
hơn	() past.
hơn	() after.
hơn ai cả	() xem hơn ai hết.
hơn ai hết	() none better than one.
hơn ai về cái gì	(thngữ) to have something on somebody.
hơn cả	() above all others.
hơn cấp	(ngđtừ) outrank.
hơn hẳn	() by far.
hơn hết	() xem hơn cả.
hơn hớn	() glowing with pleasure, glowing with happiness.
hơn là	() rather than.
hơn loại hai một ít	(thngữ) beta plus.
hơn một	(thngữ) many a.
hơn một ngày hay một chước	() a day earlier, a day's advantage.
hơn một ngựa	(thngữ) to win by a length.
hơn một thuyền	(thngữ) to win by a length.
hơn một xe	(thngữ) to win by a length.
hơn nhiều	(thngữ) chalks away.
hơn nhiều	(thngữ) by a long chalk.
hơn nhiều	(thngữ) by long chalks.
hơn nữa	() more.
hơn nữa	() moreover.
hơn nữa	() furthermore.
hơn rất nhiều	(thngữ) to ring the round.
hơn tất cả mọi người	(thngữ) to take the bun.
hơn thế	(dtừ) vantage.
hơn thế	(phó từ) too.
hơn thế nữa	() further, furthermore.
hơn thiệt	() pros and cons.
hơn thua	() win or lose.
hơn thường lệ	(phó từ) extra.
hơn trước	() more than before.
hơn về	(ngđtừ) out-herod.
hơn về số lượng	(dtừ) number.
hớ	(đtừ) to blunder.
hớ hênh	() exposing indecently (part of one's body) by inadvertence.
hớ hênh	() exposing one's weak spot.
hớn hở	(ttừ) merry.
hớn hở	(ttừ) gay.
hớn hở	(ttừ) radiant.
hớn hở ra mặt	() show gladness in one's expression.
hớp	(đtừ) to sip.
hớp hồn	() enchant.
hớp nhỏ	(dtừ) drain.
hớp nhỏ rượu mạnh	(dtừ) drop.
hớp rượu	(dtừ) dop, snifter, snort, liquor.
hớp rượu mạnh	(dtừ) caulker, short snort, calker.
hớp rượu nhỏ	(dtừ) dram.
hớt	(đtừ) to cut.
hớt	(đtừ) to clip.
hớt	(đtừ) to crop.
hớt	(đtừ) to shear.
hớt	(đtừ) to skim.
hớt	(đtừ) to remove.
hớt bọt	(ngđtừ) skim.
hớt cạo	() scraping, grattage.
hớt da	() abrasion.
hớt ha hớt hải	() xem hớt hải (láy).
hớt hải	() panic, be panic-stricken.
hớt hải	() hớt hơ hớt hải(láy, ý tăng).
hớt hơ hớt hải	() xem hớt hải.
hớt lẻo	() tell tales ingratiatingly.
hớt nghiêng	(ngđtừ) cant.
hớt ngọn	() steal an early march on someone and get a frofit.
hớt ra sáu	(nđtừ) recede.
hớt tay trên	() get the upper hand (of).
hớt tóc	() xem cắt tóc.
hớt tóc cao	() to cut hair short.
hớt tóc ngắn	() to cut hair short.
hớt váng	(ngđtừ) skim.
hờ	() as a precaution.
hờ	() just in case.
hờ hững	() xem lãnh đạm.
hờ hững với ai	(thngữ) to give the cold shoulder to someone.
hời	(ttừ) cheap.
hời	(ttừ) inexpensive.
hời hợt	() cursory, superficial.
hời hợt bề mặt	(dtừ) crust.
hời hợt không thành thật	(ttừ) cheap.
hời hợt ngoài miệng	(ttừ) lip-deep.
hờn	() sulk.
hờn	() resent.
hờn dỗi	() to sulk.
hờn giận	() to be in sulks.
hờn hợt	() be glib.
hờn mát	() sulk mildly.
hờn oán	() deep-seated grudge.
hờn tủi	() vexation, annoyance.
hờn tủi	() humiliation.
hờn tủi	() be vexed, annoyed (by somebody).
hờn tủi	() be humiliated.
hở	() uncovered.
hở	() open.
hở cổ rộng	(dtừ) dôcolletage.
hở cổ và vai	(ttừ) dôcolletô.
hở cơ	() let the cat out of the bag.
hở cơ	() expose unintentionally one's weak spot.
hở hang	() scanty.
hở hang	() low-necked.
hở lời	() fail to keep silent.
hở miệng	() fail to keep mouth shut.
hở môi	() open one's lips.
hở ngực	() (nói về áo) low-necked.
hở ngực	() topless.
hở răng	() như hở môi.
hở sườn	() (quân) expose the flank.
hở vai	() décolleté (of dress).
hở van tim	() a valvular disease of the heart.
hởi	() satisfy.
hởi dạ	() to one's liking.
hởi lòng hởi dạ	() be fully satisfied.
hỡi	() dear, my dear (used to address an equal or inferior).
hỡi	() oh.
hỡi ôi	() alas!.
hợi	() (tử vi) pig.
hợm	() give oneself airs.
hợm đời	() behave supercilious.
hợm hĩnh	() supercilious.
hợm hĩnh	() arrogant.
hợm hĩnh	() haughty.
hợm hĩnh điệu bộ	(ttừ) goody-goody.
hợm mình	() to put on airs.
hợm mình	() to be snobbish/stuck-up/self-important.
hợm mình vì giàu có	(ttừ) purse-proud.
hợm mình xấc xược	(dtừ) puppyism.
hợm mình xấc xược	(ttừ) puppyish.
hợp	() to suit.
hợp	() to fit.
hợp	() to accord.
hợp	() to agree.
hợp	() oán học) union.
hợp âm	(dtừ) accord.
hợp âm rải	() (âm nhạc) arpeggio (-ios).
hợp bang	() confederation.
hợp bào	() (sinh học) plasmodium.
hợp biện	() assist, aid (in doing something).
hợp biện	() do together (with someone).
hợp bởi lăng kính	(ttừ) prismatic.
hợp ca	() chorus.
hợp ca	() sing in chorus.
hợp cách	() regular.
hợp cách	() proper.
hợp cánh	() gamopetalous.
hợp cảnh	() appropriated to the situation.
hợp cẩn	() (từ nghĩa cũ) ritual sharing of the bridal cup of wine (on the wedding night).
hợp chất	() compound.
hợp chất	() mix.
hợp chất béo	() aliphatic compound.
hợp chủng quốc hoa kỳ	() xem hiệp chủng quốc hoa kỳ.
hợp danh	() collective name.
hợp doanh	() share a venture, have a joint business.
hợp dòng	(ttừ) confluent.
hợp đạo đức	(ttừ) moral.
hợp đạo thánh	(ngđtừ) sanctify.
hợp đạo thánh	(ttừ) sanctification.
hợp điểm	() rendezvous.
hợp đồng	() bond.
hợp đồng	() indenture.
hợp đồng	() covenant.
hợp đồng	() agreement.
hợp đồng	() contract.
hợp đồng	() to strike a bargain with somebody.
hợp đồng	() to contract with somebody.
hợp đồng	() contractual.
hợp đồng bán hàng theo kỳ hạn	(dtừ) time-bargain.
hợp đồng bảo hiểm	() insurance policy.
hợp đồng bảo hiểm hỏa hoạn	(dtừ) fire-policy.
hợp đồng bảo trì	() maintenance contract.
hợp đồng bảo trì	() service contract.
hợp đồng cho thuê	(dtừ) lease.
hợp đồng cho thuê đất làm nhà	(dtừ) building-lease.
hợp đồng chuyên chở	() contract of carriage.
hợp đồng chứng khoán hai chiều	(dtừ) straddle.
hợp đồng có đóng dấu	(dtừ) specialty.
hợp đồng có thời hạn	() fixed-term contract.
hợp đồng dài hạn	() long-term contract.
hợp đồng dạy nghề	() contract of apprenticeship.
hợp đồng dạy nghề	() training contract.
hợp đồng đa phương	() multilateral contract.
hợp đồng đào tạo	() contract of apprenticeship.
hợp đồng đào tạo	() training contract.
hợp đồng đại lý	() agency contract.
hợp đồng gia công	() processing contract.
hợp đồng hợp tác kinh doanh	() business co-operation contract.
hợp đồng khoán	() fixed-price contract.
hợp đồng kinh doanh	() business contract.
hợp đồng ký gửi	() consignment contract.
hợp đồng lao động	() contract of employment.
hợp đồng lao động	() labor contract.
hợp đồng làm ăn	() business contract.
hợp đồng làm trọn ngày	() full-time contract.
hợp đồng li xăng	() license agreement.
hợp đồng liên doanh	() joint-venture agreement.
hợp đồng miệng	() verbal contract.
hợp đồng mua bán	() sales contract.
hợp đồng mua bán	() purchase contract.
hợp đồng mua trả góp	() hire-purchase contract/agreement.
hợp đồng ngay tình	() xem khế ước ngay tình.
hợp đồng ngắn hạn	() short-term contract.
hợp đồng phân chia lợi nhuận	() profit-sharing contract.
hợp đồng phân phối	() distribution contract.
hợp đồng phụ	() subcontract.
hợp đồng quản lý	() management contract.
hợp đồng quảng cáo	() advertising contract.
hợp đồng quảng cáo trên áo thi đấu	() shirt deal.
hợp đồng song phương	() bipartite/bilateral contract.
hợp đồng sử dụng	() license agreement.
hợp đồng tài trợ	() sponsorship deal.
hợp đồng tạm	() temporary contract.
hợp đồng thuê đất	() lease.
hợp đồng thuê đất	() land rent agreement.
hợp đồng thuê ký gối	(thngữ) concurrent lease.
hợp đồng thuê mướn	() rent agreement.
hợp đồng thuê mướn	() lease.
hợp đồng thuê tàu	() contract of affreightment.
hợp đồng thuê tàu	() charter-party.
hợp đồng thuê tàu	() charter.
hợp đồng thuê tàu chuyến	() voyage charter.
hợp đồng thuê tàu có thời hạn nhất định	() time charter.
hợp đồng thuê tàu dài hạn	() long-term charter.
hợp đồng thuê tàu ngày	() daily charter.
hợp đồng thuê vĩnh viễn	(dtừ) feu.
hợp đồng trên tàu	(dtừ) shipping-articles.
hợp đồng tuyển dụng	() contract of employment.
hợp đồng tuyển dụng	() labor contract.
hợp đồng vay	() loan agreement.
hợp đồng vận chuyển	() contract of carriage.
hợp đồng vận chuyển	() transportation agreement.
hợp đồng vô thời hạn	() permanent contract.
hợp đồng vô thời hạn	() open-ended contract.
hợp hiến	() constitutional.
hợp hiến pháp	(dtừ) constitutionality, constitutionalism.
hợp hiến pháp	(phó từ) constitutionally.
hợp khẩu	() tempting.
hợp khẩu	() appetizing.
hợp khẩu vị	(ttừ) goluptious.
hợp khí già	() rich mixture.
hợp khí hậu	(ngđtừ) climatize.
hợp khí non	() poor mixture.
hợp kim	() alloy.
hợp kim để đúc súng	(dtừ) gun-metal.
hợp kim đúc chữ in	(dtừ) type-metal.
hợp kim gang	() cast alloy iron.
hợp kim giả bạc	(dtừ) white metal.
hợp kim hàn	(dtừ) solder.
hợp kim hàn bạc	(dtừ) silver solder.
hợp kim inva	(dtừ) invar.
hợp kim mayso	(dtừ) albata.
hợp kim nhôm	() aluminum alloy.
hợp kim pecmalci	(dtừ) permalloy.
hợp kim sắt	(dtừ) ferro-alloy.
hợp kim thiếc	(dtừ) pewter.
hợp kim vàng bạc	(dtừ) electrum.
hợp làm một	(đtừ) unite.
hợp lại	(dtừ) coupling, coalescence.
hợp lại	(nđtừ) co-operate.
hợp lại	(thngữ) to throw together.
hợp lại	(ttừ) composite, conjoint.
hợp lại thành một hệ thống thống nhất	(ngđtừ) integrate.
hợp lại thành một hệ thống thống nhất	(nđtừ) integrate.
hợp lại thành tơrơt	(ngđtừ) trustify.
hợp lẽ	(dtừ) propriety.
hợp lẽ	(đtừ) beseem.
hợp lẽ phải	(dtừ) rationality.
hợp lẽ phải	(ttừ) just.
hợp lệ	() regular.
hợp lệ	() lawful.
hợp lệ	() valid.
hợp lí	() xem hợp lý.
hợp lôgic	(ttừ) legitimate.
hợp lưu	() confluence.
hợp lực	() xem hợp sức.
