ka ki	() khaki.
khúc nhạc đêm	(dtừ) nocturne.
khúc nhạc đồng quê	(dtừ) serenata.
khúc nhạc hiệu	(dtừ) theme, theme song.
khúc nhạc kết thúc	(dtừ) symphony.
khúc nhạc mở đầu	(dtừ) symphony.
khúc nhạc ngắn	(dtừ) bagatelle.
khúc nhôi	() như khúc nôi.
khúc nhôi	() state of things.
khúc nhôi	() feeling, emotional experience.
khúc nôi	() xem khúc nhôi.
khúc phóng túng	(dtừ) extravaganza, fantasia.
khúc phổ	() musical score.
khúc quanh	() bend.
khúc quanh	() curve.
khúc quanh	() turn.
khúc quanh	() turning.
khúc quanh co	(dtừ) crinkle, crook, crankle.
khúc quân hành	() military march.
khúc sông	() section of river.
khúc sông hẹp	(dtừ) throat.
khúc sông phải chuyển tải	(dtừ) portage.
khúc to	(dtừ) hunk, hunch.
khúc tôcat	(đtừ) toccata.
khúc trung gian	(dtừ) intermezzo.
khúc tuyến	() curve.
khúc tùy hứng	(dtừ) capriccio.
khúc tức hứng	(dtừ) improvisation, impromptu.
khúc uốn	() meander.
khúc uốn quanh	(dtừ) twine, crinkle, crankle.
khúc vọng kính	() protectoscope.
khúc xạ	() to refract.
khúc xạ	() refraction.
khúc xạ học	() dioptrics.
khúc xạ kép	() birefringence.
khúc xạ kế	() refractometer.
khúc xạ pháo	() howitzer.
khúc xêcăng	(dtừ) sequence.
khúc xuất	() flexure.
khúc xương	() knotty part.
khúm na khúm núm	() xem khúm núm.
khúm núm	() obsequious.
khúm núm	() subservient.
khúm núm đi xiên	(nđtừ) sidle.
khù khờ	() very naive, very foolish stupid.
khù khụ	() raucous (nói về ho).
khùng	() crazy.
khùng	() mad.
khùng	() dotty.
khùng	() cracked.
khủng	(ttừ) appalling.
khủng bố	() to persecute.
khủng bố	() to terrorize.
khủng bố	() terrorism.
khủng bố	() terror.
khủng bố	() terrorist.
khủng bố các đối thủ chính trị	(dtừ) mc carthyism.
khủng bố nhân dân	() to terrorize/persecute the people.
khủng bố nhân dân	() to strike terror into the people.
khủng bố quân sự	(dtừ) militerrorism.
khủng bố trắng	() white terror.
khủng bố trên mạng máy tính	() cyberterrorism.
khủng điểu	() dinornis.
khủng giác	(dtừ) dinoceras.
khủng hoảng	() crisis.
khủng hoảng chính trị	() political crisis.
khủng hoảng dầu mỏ	() oil crisis.
khủng hoảng do khan hiếm	() underproduction.
khủng hoảng hậu chiến	() postwar crisis.
khủng hoảng kinh tế	() economic crisis.
khủng hoảng kinh tế	() slump.
khủng hoảng kinh tế-xã hội	() socioeconomic crisis.
khủng hoảng lòng tin	(thngữ) credibility gap.
khủng hoảng lương thực	() food crisis.
khủng hoảng năng lượng	() energy crisis.
khủng hoảng niềm tin	() credibility gap.
khủng hoảng niềm tin	() crisis of confidence.
khủng hoảng nội các	() cabinet crisis.
khủng hoảng quyền lực	() leadership crisis.
khủng hoảng tài chính	() financial crisis.
khủng hoảng thừa	() overproduction.
khủng hoảng tiền tệ	() cash-flow crisis.
khủng hoảng tiền tệ	() monetary crisis.
khủng hoảng tinh thần	() crisis of conscience.
khủng hoảng tôn giáo	() religious crisis.
khủng hoảng tuổi trung niên	() midlife crisis.
khủng khiếp	() terrible.
khủng khiếp	() horrible.
khủng khỉnh	() be at odds with.
khủng long	() (động vật học) dinosaur.
khủng thú	(dtừ) dinothere.
khủy	(dtừ) elbow.
khụ	() decrepit.
khục	() crack (of finger-joints).
khụt khịt	() sniff sporadic.
khư khư	() to grip.
khư khư	() to clutch.
khư khư giữ của	(ttừ) possessive.
khư khư giữ lấy cho riêng mình	(ttừ) possessive.
khư khư giữ lấy sai lầm	(dtừ) perversity.
khư khư giữ lấy sai lầm	(ttừ) perverse.
khươm năm	() (thông_tục) for ages, long since.
khương	() ginger.
khương khảo	() ginger.
khước	() (cũ) luck bestowed by a deity, blessing.
khước bộ	() step back.
khước hôn	() turn down a marriage offer.
khước lập	() step back.
khước từ	() to decline.
khước từ	() to renounce.
khước từ	() to repudiate.
khướt	() dead beat, ded tired, dog tired.
khướu	() chinese laughing-thrush (chim).
khướu bạc má	() black throated laughing.
khứ hồi	() journey there and back.
khứ hồi	() round trip.
khứ lưu	() depart and remain.
khứ thanh	() high - falling tone, going tone.
khứa	() to cut little by little.
khứa	() slice.
khứng	() (cũ) consent, accept, agree.
khứng chịu	() consent.
khứu	(đtừ) to smell.
khứu giác	() (the sense of) smell.
khứu vị học	() osmics.
khừ khừ	() clattering(groan).
khử	() get rid of, dispose of, liquidate.
khử	() (hóa học) deoxidize.
khử ai đi	(thngữ) to cook somebody's goose.
khử axit cacbonic	(ngđtừ) decarbonate.
khử bỏ	(dtừ) riddance.
khử bỏ	(thngữ) to brush off.
khử cacbon	(ngđtừ) decarbonate.
khử cực	() depolarization, depolarize.
khử dao động	() damping.
khử đi	(thngữ) to do for , to give sb a ride.
khử đi	(thngữ) to take sb for a ride, to bump off.
khử độc	() neutralize, pasteurize, sterilize.
khử được	() effaceable.
khử hoạt tính	(dtừ) inactivation.
khử hoạt tính	(ngđtừ) inactivate.
khử hơi độc	(ngđtừ) degas.
khử khí	(ngđtừ) degas.
khử khoáng	() demineralization.
khử loạn âm	() anti - sidetone.
khử lưu huỳnh	() desulfurize.
khử mặn	() desalinize.
khử muối	() desalt.
khử muối từ	(đtừ) desalinate.
khử mùi	() to deodorize.
khử mùi	() to deodorise.
khử nam châm	() demagnetize.
khử náo	() noise suppression.
khử nhạy	(dtừ) desensitizing.
khử nhạy	(ngđtừ) desensitize.
khử nhiễm	() decontaminate.
khử nhiễm cho	(ngđtừ) decontaminate.
khử nước	() dehydrate.
khử ốcxy	() deoxidize.
khử phấn hoa	() depollination.
khử rận	(ngđtừ) delouse.
khử thán khí	() decarbonate.
khử thán tố	() decarbonize.
khử tia điện	() spark suppression.
khử tro	(dtừ) ash removal.
khử trùng	(đtừ) to disinfect.
khử trùng	(đtừ) to decontaminate.
khử trùng	(đtừ) to sterilize.
khử trùng	(đtừ) to pasteurize.
khử từ tính	(dtừ) demagnetization.
khử từ tính của	(ngđtừ) demagnetize.
khử xơ	() defibrinate.
khử xương	() deossification.
khựng	() stop suddenly.
ki	() (thể_thao) skeetle.
ki lô	() xem ki lô gam.
ki lô gam	() kilogram.
ki lô mét	() kilometre.
ki lô mét khối	() cubic kilometre.
ki lô mét vuông	() square kilometer.
ki mô nô	() kimono.
kia	() that.
kia	() those.
kia	() other.
kia kìa	() như kia.
kia là	() there is....
kia là	() there are....
kia là	() that is....
kia là	() those are....
kiêm	() to hold concurrently.
kiêm ái	() (be) equally fraternal to everyone.
kiêm bị	() full, complete.
kiêm chức	() concurrent post.
kiêm cố	() regard equally.
kiêm dụng	() with a twofold purpose.
kiêm lĩnh	() cumulate two functions.
kiêm lý	() manage concurrently.
kiêm nhiều chức vị	(dtừ) plurality, pluralism.
kiêm nhiệm	() xem kiêm.
kiêm quản	() manage concurrently.
kiêm sung	() cumulate.
kiêm tính	() accaparate, usurp, annex.
kiêm toàn	() perfect, be good at...and at....
kiêm vị	() hodgepodge, medley.
kiên	() patient, of great endurance.
kiên	() persistent, stubborn, pretinacious.
kiên chấp	() stubborn, obstinacious.
kiên chí	() firm determination.
kiên chí	() steadfast, firm.
kiên cố	(ttừ) strong.
kiên cố	(ttừ) solid.
kiên cường	() steadfast.
kiên cường	() resilient.
kiên cường	() unyielding.
kiên định	() firm.
kiên định	() consistent.
kiên định	() steady.
kiên định	() steadfast.
kiên gan	(ttừ) persevering.
kiên khổ	() determination in misfortune.
kiên nghị	() (ít dùng) determined, resolved.
kiên nhẫn	() patient.
kiên nhẫn	() persevering.
kiên nhẫn chịu đựng	(nđtừ) forbear.
kiên nhẫn chịu đựng	(thngữ) to put up.
kiên nhẫn chịu đựng được gian khổ	(thngữ) to take the rough with the smooth.
kiên nhẫn thắng tài ba	(thngữ) hare and tortoise.
kiên quyết	(ttừ) determined, resolute.
kiên quyết bênh vực quan điểm của mình	(thngữ) to nail colours to mast.
kiên quyết đuổi theo đến cùng	(thngữ) to nail colours to mast.
kiên quyết không chịu lui	(thngữ) to nail colours to mast.
kiên quyết làm bằng được	(ttừ) pushing.
kiên quyết phản đối	(thngữ) to be dead against somebody.
kiên tâm	() (be) firm in one purpose, (remain) steadfast.
kiên thiết	() establish firmly.
kiên thủ	() hold guard.
kiên tín	() tôn giáo pietist.
kiên toàn	() very stable, very firm.
kiên tráng	() strong and resistant.
kiên trinh	(ttừ) loyal.
kiên trinh	(ttừ) faithful.
kiên trì	() xem kiên nhẫn.
kiên trì chống cự	(thngữ) to stand out.
kiên trì dai dẳng	(thngữ) to hold out.
kiên trì làm	(thngữ) to peg away at.
kiên trì nguyên tắc	(ttừ) true-blue.
kiên trung	() như trung kiên.
kiên xảo	() strong, sturdy, well - made.
kiêng	() to abstain/refrain from something.
kiêng	() to go without something.
kiêng	() to keep off something.
kiêng ăn béo	() to be on a low-fat diet.
kiêng ăn mặn	() to be on a salt-free diet.
kiêng cữ	() xem ăn kiêng.
kiêng dè	() to show great vigilance.
kiêng dè	() to take precautions.
kiêng khem	() xem ăn kiêng.
kiêng kỵ	() xem ăn kiêng.
kiêng kỵ	() xem cấm kỵ.
kiêng nể	(đtừ) to respect.
kiêng nể	(đtừ) to have regard and so consideration for.
kiêng rượu	() to abstain from alcohol.
kiêng rượu	() to keep off alcohol.
kiêng rượu	() to be on an alcohol-free diet.
kiêng rượu	() to be on the wagon.
kiêng rượu	() to be a water-drinker.
kiêng thịt	() to abstain from meat.
kiêng thịt	() to go without meat.
kiêng thịt	() to be on a meat-free diet.
kiêu	(ttừ) arrogant.
kiêu	(ttừ) proud.
kiêu	(ttừ) haughty.
kiêu binh	() (cũ) service-proud military man, arrogant soldier.
kiêu căng	() xem tự cao tự đại.
kiêu căng láo xược	(dtừ) hubris.
kiêu dũng	() high and mighty, valiant, gallant.
kiêu hãnh	() xem tự cao tự đại.
kiêu hùng	() (ít dùng) valiant.
kiêu kỳ	() xem tự cao tự đại.
kiêu kỳ không thèm mở miệng nói nửa lời	(thngữ) not to have a word to throw at the dog.
kiêu ngạo	() như tự cao tự đại.
kiêu xa	() rare.
kiêu xa	() exquisite.
kiếm	() sword.
kiếm	() to search for....
kiếm	() to look for....
kiếm	() to seek.
kiếm	() to earn.
kiếm ăn	() to search for food.
kiếm ăn	() (nghĩa bóng) xem kiếm sống.
kiếm ăn lần hồi	(thngữ) to scrape a living.
kiếm bẩm	() make a big profit.
kiếm bịt đầu	(dtừ) foil.
kiếm cách	() xem tìm cách.
kiếm chác	() live by one's wits, make small profits by dishonest tricks.
kiếm chác đủ thứ	(thngữ) all is grist that comes to his mills.
kiếm chác ở	(thngữ) to make capital out of.
kiếm chế	(ngđtừ) restrain.
kiếm cho	(ngđtừ) accommodate.
kiếm chuyện	() to pick a quarrel with somebody.
kiếm cơm	() nghĩa bóng xem kiếm ăn.
kiếm cớ	() to find a pretext/an excuse.
kiếm cung	() sword and bow, weapons (nói khái quát).
kiếm cung	() military career.
kiếm cùn	(dtừ) foil.
kiếm củi	() to fetch firewood (in the forest).
kiếm đường	() find a way, beat a retreat.
kiếm được	() to find.
kiếm được	() to get.
kiếm được	() to procure.
kiếm được	() to earn.
kiếm được bằng làm việc	(đtừ) earn.
kiếm được một cách khó khăn	(ttừ) hard-earned.
kiếm được một cách lương thiện	(ttừ) honest.
kiếm được nhiều tiền	(thngữ) to make money.
kiếm gạo	() to earn one's living.
kiếm hiệp	() knight-errant.
kiếm hiệp	() swordsman.
kiếm hiệp	() swashbuckler.
kiếm khách	() xem kiếm hiệp.
kiếm long	() stego saurus.
kiếm lời	() make profit, seek profit.
kiếm lợi	() make profit gain advantage.
kiếm lợi ở	(thngữ) to make capital out of.
kiếm lưỡi cong	(dtừ) sabre.
kiếm lưỡi mảnh	(dtừ) ôpôe.
kiếm miếng ăn	() to earn one's daily food.
kiếm miếng ăn hằng ngày	(thngữ) to earn one's crust.
kiếm ngày nào ăn ngày nấy	(thngữ) to live from hand to mouth.
kiếm ngắn	(dtừ) small-sword, sword-bayonet.
kiếm ngư	() swordfish.
kiếm pháp	() fencing, swordsmanship.
kiếm ra	() find.
kiếm sĩ	(dtừ) duellist.
kiếm sĩ	(dtừ) fencer.
kiếm sĩ	(dtừ) swordsman.
kiếm số cử tri	(dtừ) poll.
kiếm sống	() to earn one's living/one's bread/one's daily bread.
kiếm sống bằng	(thngữ) to live by.
kiếm thấy	() to find.
kiếm thêm tiền	() to supplement one's income.
kiếm thuật	() swordsmanship.
kiếm thuật	() fencing.
kiếm tiền	() to earn money.
kiếm tiền	() to get money.
kiếm tiền	() to make money.
kiếm tìm	() seek.
kiếm việc	() xem tìm việc.
kiến	(dtừ) antcon kiến.
kiến bò bụng	(ttừ) peckish.
kiến cán	(dtừ) ant-fly.
kiến cánh	() winged ant, ant-fly.
kiến càng	() big ant.
kiến chúa	(dtừ) queen.
kiến chứng	() eyewitness.
kiến công lập nghiệp	() establish merit.
kiến cơ	() predict.
kiến dần	() first month of lunar calendar.
kiến diện	() see each other.
kiến đen	() black ant.
kiến điền	() (cũ) survy land (with a view to a new land policy).
kiến đô	() city planning.
kiến đục gỗ	() carpenter-ant.
kiến giải	() interpretation.
kiến gió	() 'wind' ant.
kiến hiệu	(ttừ) effective.
kiến hiệu	(ttừ) efficacious.
kiến lập	() establish, set up.
kiến lửa	() red ant.
kiến mối	() termites.
kiến nghiệm	() experiment.
kiến nghiệp	() set up an enterprise.
kiến nghị	(dtừ) petition.
kiến nghị phá sản	() bankruptcy petition.
kiến quốc	() found a state.
kiến sư tử	(dtừ) ant-lion.
kiến tạo	() (điạ) tectonics.
kiến tạo học	(dtừ) tectonics.
kiến tập	() (nói về sinh viên sư phạm) to listen in (for practice).
kiến tập	() to visit (elemetary and secondary schools)(for practice).
kiến thiết	() to build.
kiến thiết	() to construct.
kiến thiết cơ bản	() basic construction.
kiến thiết đô thị	() city planning.
kiến thiết đô thị	() urbanism.
kiến thiết lại	(dtừ) reconstruction.
kiến thiết lại	(ngđtừ) re-edify, reconstruct.
kiến thợ	(dtừ) nurse.
kiến thức	() knowledge.
kiến thức	() learning.
kiến thức	() understanding.
kiến thức	() savvy.
kiến thức bách khoa	(dtừ) encyclopedism.
kiến thức chuyên môn	() specialist knowledge.
kiến thức cơ sở	(dtừ) rudiment.
kiến thức ít ỏi	(dtừ) rushlight.
kiến thức nông cạn	(dtừ) smattering.
kiến thức nửa mùa	(dtừ) sciolism.
kiến thức phổ thông	() general knowledge.
kiến thức sách vở	() book-learning.
kiến thức sơ sài	(dtừ) tincture.
kiến thức truyền cho	(dtừ) instruction.
kiến thức truyền cho	(ttừ) instructional.
kiến thức vụn vặt	(dtừ) snippet.
kiến trúc	() architecture.
kiến trúc	() architectural.
kiến trúc ẩn tinh	() cryptocrystalline structure.
kiến trúc bàn cờ	() chess-board structure.
kiến trúc biến dạng	() deformation structure.
kiến trúc bọt	() vesicular structure.
kiến trúc dạng cành cây	() dendritic structure.
kiến trúc sư	() architect.
kiến trúc thượng tầng	() superstructure.
kiến vàng	() yellow ant.
kiến văn	() knowledge.
kiến văn	() learning.
kiếng	() glass.
kiếng	() xem mắt kiếng.
kiếng	() looking-glass.
kiếng	() mirror.
kiếp	() incarnation.
kiếp đọa đày	(dtừ) perdition, damnation.
kiếp nào	() until when.
kiếp người	() human existence.
kiếp người	() incarnation.
kiếp nô lệ	(dtừ) drudgery.
kiếp sau	() one's next incarnation.
kiếp sống	(dtừ) pilgrimage.
kiếp trâu ngựa	(dtừ) drudgery.
kiếp trầm luân	(dtừ) perdition.
kiếp trước	() one's previous incarnation.
kiết	(dtừ) (med) dysentery.
kiết cánh	() platycodon grandiflora (roots of which are used for medicine).
kiết cáu	() xem kiết cú.
kiết cú	() stone-broke.
